Stations_id,von_datum,bis_datum,Stationshoehe,geoBreite,geoLaenge,Stationsname,Bundesland
2152,20040628,20240422,380,51.0425,10.1468,eshausen-Archfeld,Hessen
2159,20050613,20240422,434,48.5915,8.8541,enberg,Baden-Württemberg
2170,20080319,20240422,526,50.1499,6.5527,enseifen,Rheinland-Pfalz
2171,19941220,20240422,272,50.852,9.7377,"feld, Bad",Hessen
2174,20100922,20240422,236,51.6255,10.3695,berg,Niedersachsen
2175,20061017,20240422,336,51.689,10.3571,berg-Lonau,Niedersachsen
2184,20041207,20190726,340,51.2099,9.6914,isch Lichtenau-Fürstenhagen,Hessen
2201,20050531,20240422,1,54.575,13.1044,ensee-Vitte,Mecklenburg-Vorpommern
2211,20030707,20240422,295,50.737,7.6525,enroth,Rheinland-Pfalz
2213,20020917,20240422,407,50.3105,6.6236,endorf,Rheinland-Pfalz
2233,20021112,20240422,449,50.404,11.8193,chberg,Thüringen
2252,20050320,20240422,271,50.8992,14.7456,sdorf-Hörnitz,Sachsen
2254,20050501,20240422,46,52.2396,7.6449,tel-Riesenbeck,Nordrhein-Westfalen
2261,19980211,20240422,565,50.3123,11.876,,Bayern
2272,20091112,20240422,43,53.7784,11.5595,schow,Mecklenburg-Vorpommern
2274,20020910,20240422,518,50.092,12.2134,nberg/Eger,Bayern
2278,20040930,20240422,131,51.764,13.47,nbucko,Brandenburg
2290,19931209,20240422,977,47.8009,11.0108,npeißenberg,Bayern
2293,20030525,20240422,315,50.1918,8.0888,nstein-Breithardt,Hessen
2294,20011204,20240422,468,48.6572,12.0887,nthann,Bayern
2306,20050705,20240422,8,54.3194,10.6732,acht,Schleswig-Holstein
2319,20050428,20240422,685,47.8823,11.6961,kirchen,Bayern
2323,20060613,20240422,110,51.8529,9.4953,"rn, Kr. Holzminden",Niedersachsen
2329,20020514,20240422,255,50.2446,8.5725,"urg, Bad (Filterwerk)",Hessen
2331,20020612,20240422,235,49.3278,7.3533,urg/Saar,Saarland
2355,20050823,20240422,4,53.1228,8.4205,/Oldenburg,Niedersachsen
2362,20030708,20240422,328,50.5651,7.4843,erich,Rheinland-Pfalz
2372,20070205,20240422,605,50.5467,12.5707,zengrün-Hundshübel,Sachsen
2376,20051024,20240422,455,48.6549,13.5077,lberg-Tannöd,Bayern
2387,20020507,20240422,622,48.0443,10.7375,loe,Bayern
2388,20050203,20240419,193,48.0419,7.6322,ngen,Baden-Württemberg
2405,20030327,20240422,959,47.6078,10.202,nstadt-Reute,Bayern
2415,20030416,20240422,713,47.8177,11.8681,henberg-Kasthub,Bayern
2416,20020901,20240422,549,48.2022,12.0382,-Westach,Bayern
2429,20030703,20240422,20,53.9897,9.5697,hoe,Schleswig-Holstein
2431,20020912,20240422,367,50.1337,10.9317,rund-Herreth,Bayern
2438,20080207,20240422,41,53.4277,13.8167,rland-Karlstein,Brandenburg
2444,20040511,20240422,155,50.9251,11.583,(Sternwarte),Thüringen
2465,20011101,20240422,0,53.5083,9.7376,-Moorende,Niedersachsen
2473,20041019,20240422,76,50.9316,6.3431,ch (Kläranlage),Nordrhein-Westfalen
2480,20040715,20240422,108,50.0643,8.993,/Main,Bayern
2483,19950803,20240422,839,51.1803,8.4891,er Asten,Nordrhein-Westfalen
2485,20110410,20240422,489,48.917,9.6871,ersbach-Cronhütte,Baden-Württemberg
2486,20040613,20240422,271,49.4262,7.7557,erslautern,Rheinland-Pfalz
2497,20030604,20240422,505,50.5014,6.5264,-Sistig,Nordrhein-Westfalen
2518,20050928,20240422,34,54.0117,13.4999,Kiesow-Schlagtow,Mecklenburg-Vorpommern
2531,20030306,20240422,32,53.1724,11.7491,tädt/Prignitz,Brandenburg
2538,20020617,20240422,425,49.3658,11.6925,"l, Kreis Amberg-Sulzbach",Bayern
2541,20020723,20240422,452,50.5467,11.0317,hütte,Thüringen
2546,20060101,20240422,140,48.5576,7.88,-Odelshofen,Baden-Württemberg
2559,19920429,20240422,705,47.7233,10.3348,ten,Bayern
2562,20081219,20240422,428,51.334,10.529,edündorf-Keula,Thüringen
2564,20130423,20240422,28,54.3776,10.1424,-Holtenau,Schleswig-Holstein
2575,20060807,20240422,432,49.1804,9.98,hberg/Jagst-Herboldshausen,Baden-Württemberg
2577,20050824,20240422,34,52.6007,8.8522,"hdorf, Kreis Diepholz",Niedersachsen
